Titulo,URL,Fecha
"AutoHotkey Tricks You Ought To Do With Windows (Fourth Edition): If You Do Nothing Else with the Free Autohotkey Software, These Tips Are a Must for Windows ... (AutoHotkey Tips and Tricks Book 4)",/-/es/Jack-Dunning-ebook/dp/B011POA9FK/ref=sr_1_45?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-45,
The New Office Professional's Handbook: How to Survive and Thrive in Today's Office Environment,/-/es/Editors-American-Heritage-Dictionaries/dp/0618036083/ref=sr_1_46?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-46,15 enero 2009
PID Control: Ziegler-Nichols Tuning,/-/es/Jens-Graf/dp/1494246910/ref=sr_1_47?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-47,10 diciembre 2013
Absolute Beginner (Part 1) Selenium WebDriver for Functional Automation Testing: Your Beginners Guide,/-/es/Rex-Allen-Jones-II-ebook/dp/B01ITRPGAE/ref=sr_1_48?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-48,
"Windows Server 2019 Automation with PowerShell Cookbook: Powerful ways to automate and manage Windows administrative tasks, 3rd Edition",/-/es/Thomas-Lee/dp/1789808537/ref=sr_1_49?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-49,28 febrero 2019
The Robots are Coming: A Human's Survival Guide to Profiting in the Age of Automation,/-/es/John-Pugliano/dp/1612436692/ref=sr_1_50?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-50,16 mayo 2017
"Raspberry Pi 3 Cookbook for Python Programmers: Unleash the potential of Raspberry Pi 3 with over 100 recipes, 3rd Edition",/-/es/Tim-Cox/dp/1788629876/ref=sr_1_51?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-51,30 abril 2018
PowerShell for Sysadmins: Workflow Automation Made Easy,/-/es/Adam-Bertram/dp/1593279183/ref=sr_1_52?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-52,14 enero 2020
BACnet: The Global Standard for Building Automation and Control Networks (Sustainable Energy),/-/es/Michael-H-Newman/dp/1606502883/ref=sr_1_53?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-53,1 junio 2013
The Biml Book: Business Intelligence and Data Warehouse Automation,/-/es/Andy-Leonard/dp/1484231341/ref=sr_1_54?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-54,31 octubre 2017
"Mastering Python Networking: Your one stop solution to using Python for network automation, DevOps, and SDN",/-/es/Eric-Chou/dp/1784397008/ref=sr_1_55?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-55,28 junio 2017
Black Label Cam,/-/es/dp/B019EDP5OO/ref=sr_1_56?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-56,16 diciembre 2015
Industrial Automation: Hands On,/-/es/Frank-Lamb/dp/0071816453/ref=sr_1_57?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-57,24 junio 2013
Python: 3 Manuscripts in 1 book: - Python Programming For Beginners - Python Programming For Intermediates - Python Programming for Advanced,/-/es/Maurice-J-Thompson-ebook/dp/B07CQPHC1N/ref=sr_1_58?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-58,
Home Automation For Dummies,/-/es/Dwight-Spivey/dp/1118949269/ref=sr_1_59?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-59,23 febrero 2015
Mastering Puppet 5: Optimize enterprise-grade environment performance with Puppet,/-/es/Ryan-Russell-Yates-ebook/dp/B07CCJVR98/ref=sr_1_60?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-60,
"Schumann: Piano Quintet Op. 44, Piano Quartet Op. 47",/-/es/Menahem-Pressler/dp/B000001GP3/ref=sr_1_61?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-61,23 enero 1996
"Robotics and Automation in the Food Industry: Current and Future Technologies (Woodhead Publishing Series in Food Science, Technology and Nutrition)",/-/es/Darwin-G-Caldwell/dp/1845698010/ref=sr_1_62?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-62,17 diciembre 2012
Reinventing Jobs: A 4-Step Approach for Applying Automation to Work,/-/es/Ravin-Jesuthasan/dp/1633694070/ref=sr_1_63?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-63,9 octubre 2018
"Electronic Design Automation for IC Implementation, Circuit Design, and Process Technology",/-/es/Luciano-Lavagno/dp/1482254603/ref=sr_1_64?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547053&sr=8-64,26 abril 2016
Mastering Python Networking Facts,/-/es/dp/B0775562VH/ref=sr_1_65?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-65,
Education Automation: Comprehensive Learning for Emergent Humanity,/-/es/R-Buckminster-Fuller/dp/3037781998/ref=sr_1_66?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-66,1 octubre 2009
Marketing Automation For Dummies (For Dummies Series),/-/es/Mathew-Sweezey-ebook/dp/B00J8GAHO6/ref=sr_1_67?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-67,
Software Test Automation,/-/es/Mark-Fewster/dp/0201331403/ref=sr_1_68?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-68,8 julio 1999
Pikes Peak By Rail,/-/es/Mountain-Automation/dp/B00004TESO/ref=sr_1_69?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-69,
Introduction to the ControlLogix Programmable Automation Controller with Labs,/-/es/Gary-Dunning/dp/1111539294/ref=sr_1_70?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-70,28 febrero 2013
